PlayerName,Region,FGM,FGA,FGAPerZone,PercentRankZone,FGPer,PerOverall,PerPosition
Chris DuBose,Left Wing,2,4,33.33%,NR,50.00%,NR,NR
Chris DuBose,Above Break,3,5,41.67%,NR,60.00%,NR,NR
Chris DuBose,Right Wing,0,2,16.67%,NR,0.00%,NR,NR
Chris DuBose,Rim,0,0,0,NR,NA,NR,NR
Chris DuBose,Short MR,0,0,0.00%,NR,NA,NR,NR
Chris DuBose,Long MR,0,1,0.083333333,NR,0.00%,NR,NR
Chris DuBose,NBA 3s,4,9,75.00%,NR,44.44%,NR,NR
John Grant Jr,Left Wing,3,6,13.64%,NR,50.00%,NR,NR
John Grant Jr,Above Break,9,27,61.36%,97.34%,33.33%,66.59%,69.32%
John Grant Jr,Right Wing,3,3,6.82%,NR,100.00%,NR,NR
John Grant Jr,Rim,2,5,11.36%,NR,40.00%,NR,NR
John Grant Jr,Short MR,1,2,4.55%,NR,50.00%,NR,NR
John Grant Jr,Long MR,1,1,2.27%,NR,100.00%,NR,NR
John Grant Jr,NBA 3s,8,27,61.36%,97.28%,29.63%,45.13%,46.17%
Isaiah Felder,Left Wing,2,2,9.52%,NR,100.00%,NR,NR
Isaiah Felder,Above Break,1,10,47.62%,NR,10.00%,NR,NR
Isaiah Felder,Right Wing,0,7,33.33%,NR,0.00%,NR,NR
Isaiah Felder,Rim,0,1,4.76%,NR,0.00%,NR,NR
Isaiah Felder,Short MR,0,1,4.76%,NR,0.00%,NR,NR
Isaiah Felder,Long MR,0,0,0,NR,NA,NR,NR
Isaiah Felder,NBA 3s,2,14,66.67%,NR,14.29%,NR,NR
Dexter McClanahan,Left Wing,1,3,3.53%,NR,33.33%,NR,NR
Dexter McClanahan,Above Break,9,35,41.18%,64.60%,25.71%,30.28%,27.13%
Dexter McClanahan,Right Wing,4,8,9.41%,NR,50.00%,NR,NR
Dexter McClanahan,Rim,10,28,32.94%,53.22%,35.71%,4.84%,7.02%
Dexter McClanahan,Short MR,1,6,7.06%,NR,16.67%,NR,NR
Dexter McClanahan,Long MR,2,5,5.88%,NR,40.00%,NR,NR
Dexter McClanahan,NBA 3s,12,35,41.18%,65.76%,34.29%,69.32%,66.30%
Zach Sellers,Left Wing,0,1,2.50%,NR,0.00%,NR,NR
Zach Sellers,Above Break,8,23,57.50%,96.64%,34.78%,71.12%,68.99%
Zach Sellers,Right Wing,1,1,2.50%,NR,100.00%,NR,NR
Zach Sellers,Rim,3,10,25.00%,NR,30.00%,NR,NR
Zach Sellers,Short MR,1,3,7.50%,NR,33.33%,NR,NR
Zach Sellers,Long MR,1,2,5.00%,NR,50.00%,NR,NR
Zach Sellers,NBA 3s,7,20,50.00%,89.95%,35.00%,72.23%,69.84%
Austin Dasent,Left Wing,9,14,24.14%,NR,64.29%,NR,NR
Austin Dasent,Above Break,6,19,32.76%,39.53%,31.58%,57.76%,54.26%
Austin Dasent,Right Wing,3,13,22.41%,NR,23.08%,NR,NR
Austin Dasent,Rim,1,8,13.79%,NR,12.50%,NR,NR
Austin Dasent,Short MR,0,2,3.45%,NR,0.00%,NR,NR
Austin Dasent,Long MR,1,2,3.45%,NR,50.00%,NR,NR
Austin Dasent,NBA 3s,9,27,46.55%,81.79%,33.33%,66.63%,63.32%
Ralueke Orizu,Left Wing,0,0,0,NR,NA,NR,NR
Ralueke Orizu,Above Break,0,0,0,NR,NA,NR,NR
Ralueke Orizu,Right Wing,0,0,0,NR,NA,NR,NR
Ralueke Orizu,Rim,8,17,89.47%,100.00%,47.06%,24.13%,23.00%
Ralueke Orizu,Short MR,0,1,5.26%,NR,0.00%,NR,NR
Ralueke Orizu,Long MR,1,1,5.26%,NR,100.00%,NR,NR
Ralueke Orizu,NBA 3s,0,0,0,NR,NA,NR,NR
Tylik Evans,Left Wing,0,0,0.00%,NR,NA,NR,NR
Tylik Evans,Above Break,5,16,51.61%,88.89%,31.25%,56.14%,53.49%
Tylik Evans,Right Wing,0,2,6.45%,NR,0.00%,NR,NR
Tylik Evans,Rim,4,9,29.03%,NR,44.44%,NR,NR
Tylik Evans,Short MR,0,1,3.23%,NR,0.00%,NR,NR
Tylik Evans,Long MR,1,3,9.68%,NR,33.33%,NR,NR
Tylik Evans,NBA 3s,5,16,51.61%,91.03%,31.25%,53.75%,51.09%
Khalen Pinkett,Left Wing,0,1,20.00%,NR,0.00%,NR,NR
Khalen Pinkett,Above Break,0,0,0,NR,NA,NR,NR
Khalen Pinkett,Right Wing,0,1,0.2,NR,0.00%,NR,NR
Khalen Pinkett,Rim,0,3,60.00%,NR,0.00%,NR,NR
Khalen Pinkett,Short MR,0,0,0,NR,NA,NR,NR
Khalen Pinkett,Long MR,0,0,0,NR,NA,NR,NR
Khalen Pinkett,NBA 3s,0,1,20.00%,NR,0.00%,NR,NR
Javaris Jenkins,Left Wing,0,5,7.81%,NR,0.00%,NR,NR
Javaris Jenkins,Above Break,7,33,51.56%,91.06%,21.21%,17.13%,18.12%
Javaris Jenkins,Right Wing,2,11,17.19%,NR,18.18%,NR,NR
Javaris Jenkins,Rim,5,8,12.50%,NR,62.50%,NR,NR
Javaris Jenkins,Short MR,1,3,4.69%,NR,33.33%,NR,NR
Javaris Jenkins,Long MR,2,4,6.25%,NR,50.00%,NR,NR
Javaris Jenkins,NBA 3s,7,39,60.94%,97.04%,17.95%,10.41%,10.62%
Jahlin Smith,Left Wing,0,2,10.00%,NR,0.00%,NR,NR
Jahlin Smith,Above Break,0,4,20.00%,NR,0.00%,NR,NR
Jahlin Smith,Right Wing,0,1,5.00%,NR,0.00%,NR,NR
Jahlin Smith,Rim,7,10,50.00%,NR,70.00%,NR,NR
Jahlin Smith,Short MR,0,1,5.00%,NR,0.00%,NR,NR
Jahlin Smith,Long MR,1,2,10.00%,NR,50.00%,NR,NR
Jahlin Smith,NBA 3s,0,6,30.00%,NR,0.00%,NR,NR
Juwan Grant,Left Wing,0,0,0.00%,NR,NA,NR,NR
Juwan Grant,Above Break,3,6,0.5,NR,50.00%,NR,NR
Juwan Grant,Right Wing,0,2,0.166666667,NR,0.00%,NR,NR
Juwan Grant,Rim,1,2,16.67%,NR,50.00%,NR,NR
Juwan Grant,Short MR,0,1,8.33%,NR,0.00%,NR,NR
Juwan Grant,Long MR,0,1,8.33%,NR,0.00%,NR,NR
Juwan Grant,NBA 3s,3,6,50.00%,NR,50.00%,NR,NR
Jahir Cabeza,Left Wing,1,2,7.41%,NR,50.00%,NR,NR
Jahir Cabeza,Above Break,1,9,33.33%,NR,11.11%,NR,NR
Jahir Cabeza,Right Wing,1,6,22.22%,NR,16.67%,NR,NR
Jahir Cabeza,Rim,5,10,37.04%,NR,50.00%,NR,NR
Jahir Cabeza,Short MR,0,0,0,NR,NA,NR,NR
Jahir Cabeza,Long MR,0,0,0,NR,NA,NR,NR
Jahir Cabeza,NBA 3s,2,10,37.04%,NR,20.00%,NR,NR
Tyler Simmons,Left Wing,0,0,0.00%,NR,NA,NR,NR
Tyler Simmons,Above Break,0,0,0,NR,NA,NR,NR
Tyler Simmons,Right Wing,0,2,1,NR,0.00%,NR,NR
Tyler Simmons,Rim,0,0,0,NR,NA,NR,NR
Tyler Simmons,Short MR,0,0,0,NR,NA,NR,NR
Tyler Simmons,Long MR,0,0,0,NR,NA,NR,NR
Tyler Simmons,NBA 3s,0,1,0.5,NR,0.00%,NR,NR
Tanner Schmit,Left Wing,0,0,0,NR,NA,NR,NR
Tanner Schmit,Above Break,0,1,0.038461538,NR,0.00%,NR,NR
Tanner Schmit,Right Wing,0,0,0,NR,NA,NR,NR
Tanner Schmit,Rim,2,3,11.54%,NR,66.67%,NR,NR
Tanner Schmit,Short MR,6,11,42.31%,NR,54.55%,NR,NR
