Xrim1,YRim1,XRim2,YRim2,XPaint1,YPaint1,XPaint2,YPaint2,XFC1,YFC1,XFC2,YFC2,X3P1,Y3P1,X3P2,Y3P2,XBackB1,YBackB1,XBackB2,YBackB2,HalfCX,HalfCY,HalfX2,HalfY2,BoundX,BoundY
3.325345022,45.47244078,93.67465498,45.47244078,18.5206383,32,78.4793617,32,23.92153937,51.55184469,73.07846063,51.55184469,20.88771486,71.96126102,76.11228514,71.96126102,2.686170213,49.15,94.31382979,49.15,43.58909892,51.55184469,48.5,-4.9,-1,-0.4
3.298376428,45.4615551,93.70162357,45.4615551,18.5106383,32,78.4893617,32,23.99019561,51.3879377,73.00980439,51.3879377,21.1420164,71.37543701,75.8579836,71.37543701,2.686170213,49.14,94.31382979,49.14,43.52044268,51.3879377,48.5,-4.8,-1,-0.2
3.271624318,45.44888874,93.72837568,45.44888874,18.5006383,32,78.4993617,32,24.05733503,51.22178028,72.94266497,51.22178028,21.39089527,70.78127418,75.60910473,70.78127418,2.686170213,49.13,94.31382979,49.13,43.45330327,51.22178028,48.5,-4.7,-1,-2.05E-15
3.245121286,45.43445713,93.75487871,45.43445713,18.4906383,32,78.5093617,32,24.12293718,51.05342303,72.87706282,51.05342303,21.63427566,70.17895351,75.36572434,70.17895351,2.686170213,49.12,94.31382979,49.12,43.38770112,51.05342303,48.5,-4.6,-1,0.2
3.218899623,45.41827786,93.78110038,45.41827786,18.4806383,32,78.5193617,32,24.18698207,50.88291724,72.81301793,50.88291724,21.87208344,69.56865847,75.12791656,69.56865847,2.686170213,49.11,94.31382979,49.11,43.32365623,50.88291724,48.5,-4.5,-1,0.4
3.192991274,45.40037064,93.80700873,45.40037064,18.4706383,32,78.5293617,32,24.24945019,50.71031484,72.75054981,50.71031484,22.10424616,68.95057498,74.89575384,68.95057498,2.686170213,49.1,94.31382979,49.1,43.26118811,50.71031484,48.5,-4.4,-1,0.6
3.167427805,45.38075728,93.83257219,45.38075728,18.4606383,32,78.5393617,32,24.31032253,50.53566842,72.68967747,50.53566842,22.33069312,68.3248913,74.66930688,68.3248913,2.686170213,49.09,94.31382979,49.09,43.20031577,50.53566842,48.5,-4.3,-1,0.8
3.142240362,45.35946168,93.85775964,45.35946168,18.4506383,32,78.5493617,32,24.36958052,50.35903117,72.63041948,50.35903117,22.55135532,67.69179802,74.44864468,67.69179802,2.686170213,49.08,94.31382979,49.08,43.14105778,50.35903117,48.5,-4.2,-1,1
3.117459632,45.33650979,93.88254037,45.33650979,18.4406383,32,78.5593617,32,24.42720613,50.1804569,72.57279387,50.1804569,22.76616556,67.05148799,74.23383444,67.05148799,2.686170213,49.07,94.31382979,49.07,43.08343216,50.1804569,48.5,-4.1,-1,1.2
3.093115805,45.31192956,93.90688419,45.31192956,18.4306383,32,78.5693617,32,24.48318181,50,72.51681819,50,22.97505841,66.40415626,74.02494159,66.40415626,2.686170213,49.06,94.31382979,49.06,43.02745649,50,48.5,-4,-1,1.4
3.069238542,45.28575095,93.93076146,45.28575095,18.4206383,32,78.5793617,32,24.53749049,49.81771544,72.46250951,49.81771544,23.17797022,65.75,73.82202978,65.75,2.686170213,49.05,94.31382979,49.05,42.97314781,49.81771544,48.5,-3.9,-1,1.6
3.045856932,45.25800585,93.95414307,45.25800585,18.4106383,32,78.5893617,32,24.59011564,49.63365875,72.40988436,49.63365875,23.3748392,65.08921848,73.6251608,65.08921848,2.686170213,49.04,94.31382979,49.04,42.92052266,49.63365875,48.5,-3.8,-1,1.8
3.022999464,45.22872807,93.97700054,45.22872807,18.4006383,32,78.5993617,32,24.64104123,49.447886,72.35895877,49.447886,23.56560537,64.42201298,73.43439463,64.42201298,2.686170213,49.03,94.31382979,49.03,42.86959707,49.447886,48.5,-3.7,-1,2
3.000693984,45.19795327,93.99930602,45.19795327,18.3906383,32,78.6093617,32,24.69025174,49.26045376,72.30974826,49.26045376,23.75021062,63.74858674,73.24978938,63.74858674,2.686170213,49.02,94.31382979,49.02,42.82038656,49.26045376,48.5,-3.6,-1,2.2
2.97896767,45.16571894,94.02103233,45.16571894,18.3806383,32,78.6193617,32,24.73773219,49.07141914,72.26226781,49.07141914,23.92859873,63.06914489,73.07140127,63.06914489,2.686170213,49.01,94.31382979,49.01,42.77290611,49.07141914,48.5,-3.5,-1,2.4
2.95784699,45.13206437,94.04215301,45.13206437,18.3706383,32,78.6293617,32,24.7834681,48.88083972,72.2165319,48.88083972,24.10071535,62.38389439,72.89928465,62.38389439,2.686170213,49,94.31382979,49,42.72717019,48.88083972,48.5,-3.4,-1,2.6
2.937357678,45.09703055,94.06264232,45.09703055,18.3606383,32,78.6393617,32,24.82744556,48.68877354,72.17255444,48.68877354,24.26650805,61.69304397,72.73349195,61.69304397,2.686170213,48.99,94.31382979,48.99,42.68319273,48.68877354,48.5,-3.3,-1,2.8
